iter	Passed	Remaining
647	22643	12299
648	22670	12260
649	22712	12229
650	22739	12190
651	22771	12154
652	22833	12133
653	22916	12124
654	22952	12089
655	23025	12074
656	23095	12057
657	23132	12023
658	23153	11980
659	23220	11961
660	23266	11932
661	23291	11892
662	23326	11856
663	23369	11825
664	23395	11785
665	23420	11745
666	23442	11703
667	23471	11665
668	23506	11630
669	23531	11589
670	23558	11551
671	23586	11512
672	23614	11473
673	23660	11444
674	23697	11410
675	23729	11373
676	23750	11331
677	23786	11296
678	23850	11275
679	23912	11253
680	23946	11217
681	24012	11196
682	24069	11171
683	24093	11130
684	24157	11108
685	24198	11076
686	24323	11082
687	24359	11046
688	24419	11022
689	24478	10997
690	24520	10964
691	24536	10920
692	24581	10889
693	24601	10847
694	24634	10810
695	24667	10774
696	24701	10738
697	24724	10697
698	24746	10656
699	24797	10627
700	24828	10590
701	24902	10571
702	24944	10538
703	24968	10498
704	25006	10463
705	25045	10429
706	25106	10404
707	25161	10377
708	25187	10337
709	25238	10308
710	25276	10273
711	25304	10235
712	25335	10198
713	25361	10158
714	25393	10122
715	25434	10088
716	25476	10055
717	25505	10017
718	25544	9983
719	25572	9944
720	25599	9906
721	25635	9870
722	25652	9827
723	25661	9782
724	25699	9747
725	25737	9713
726	25782	9681
727	25838	9653
728	25862	9614
729	25893	9576
730	25954	9550
731	26015	9524
732	26043	9486
733	26075	9449
734	26101	9410
735	26132	9373
736	26168	9338
737	26196	9300
738	26234	9265
739	26258	9226
740	26274	9183
741	26307	9147
742	26330	9107
743	26350	9066
744	26374	9027
745	26406	8991
746	26434	8953
747	26486	8923
748	26521	8887
749	26570	8856
750	26603	8820
751	26627	8781
752	26658	8744
753	26682	8705
754	26709	8667
755	26735	8628
756	26761	8590
757	26788	8552
758	26873	8532
759	26898	8494
760	26926	8456
761	26950	8417
762	26984	8381
763	27039	8352
764	27063	8313
765	27081	8273
766	27148	8247
767	27188	8213
768	27215	8175
769	27235	8135
770	27257	8096
771	27304	8063
772	27351	8032
773	27400	8000
774	27432	7964
775	27472	7930
776	27498	7891
777	27563	7865
778	27591	7827
779	27630	7793
780	27676	7760
781	27729	7730
782	27772	7696
783	27815	7663
784	27854	7629
785	27884	7592
786	27917	7555
787	27951	7519
788	27982	7483
789	28024	7449
790	28070	7416
791	28110	7382
792	28146	7347
793	28177	7310
794	28216	7275
795	28282	7248
796	28299	7208
797	28336	7172
798	28383	7140
799	28418	7104
800	28449	7068
801	28482	7031
802	28525	6998
803	28550	6960
804	28601	6928
805	28679	6902
806	28753	6876
807	28793	6842
808	28831	6806
809	28871	6772
810	28903	6735
811	28941	6700
812	28961	6661
813	29039	6635
814	29098	6605
815	29128	6568
816	29160	6531
817	29178	6492
818	29244	6463
819	29273	6425
820	29301	6388
821	29328	6351
822	29345	6311
823	29357	6270
824	29403	6237
825	29468	6207
826	29495	6170
827	29530	6134
828	29548	6095
829	29573	6057
830	29613	6022
831	29624	5981
832	29633	5940
833	29642	5900
834	29667	5862
835	29700	5826
836	29736	5790
837	29774	5756
838	29806	5719
839	29838	5683
840	29883	5649
841	29925	5615
842	29990	5585
843	30058	5555
844	30101	5521
845	30148	5487
846	30183	5452
847	30216	5416
848	30254	5381
849	30289	5345
850	30332	5310
851	30375	5276
852	30406	5240
853	30429	5202
854	30504	5173
855	30545	5138
856	30584	5103
857	30621	5067
858	30647	5030
859	30714	5000
860	30747	4963
861	30794	4929
862	30827	4893
863	30861	4857
864	30890	4821
865	30932	4786
866	30962	4749
867	30996	4713
868	31015	4675
869	31044	4638
870	31087	4604
871	31123	4568
872	31154	4532
873	31213	4499
874	31308	4472
875	31367	4440
876	31434	4408
877	31465	4372
878	31539	4341
879	31628	4312
880	31700	4281
881	31737	4246
882	31754	4207
883	31782	4170
884	31842	4137
885	31875	4101
886	31941	4069
887	31985	4034
888	32030	3999
889	32050	3961
890	32102	3927
891	32130	3890
892	32154	3852
893	32231	3821
894	32250	3783
895	32266	3745
896	32315	3710
897	32375	3677
898	32392	3639
899	32424	3602
900	32455	3566
901	32511	3532
902	32556	3497
903	32592	3461
904	32618	3424
905	32691	3391
906	32748	3357
907	32811	3324
908	32875	3291
909	32919	3255
910	32950	3219
911	33004	3184
912	33032	3147
913	33057	3110
914	33081	3073
915	33134	3038
916	33161	3001
917	33187	2964
918	33218	2927
919	33246	2891
920	33291	2855
921	33324	2819
922	33372	2784
923	33393	2746
924	33427	2710
925	33464	2674
926	33502	2638
927	33544	2602
928	33578	2566
929	33628	2531
930	33675	2495
931	33701	2458
932	33730	2422
933	33748	2384
934	33779	2348
935	33800	2311
936	33855	2276
937	33903	2240
938	33937	2204
939	33964	2167
940	33988	2131
941	34013	2094
942	34173	2065
943	34207	2029
944	34238	1992
945	34283	1957
946	34337	1921
947	34384	1886
948	34413	1849
949	34472	1814
950	34505	1777
951	34534	1741
952	34573	1705
953	34606	1668
954	34640	1632
955	34681	1596
956	34711	1559
957	34772	1524
958	34823	1488
959	34860	1452
960	34896	1416
961	34957	1380
962	35011	1345
963	35050	1308
964	35099	1273
965	35197	1238
966	35257	1203
967	35305	1167
968	35371	1131
969	35546	1099
970	35690	1065
971	35768	1030
972	35799	993
973	35870	957
974	35938	921
975	36041	886
976	36078	849
977	36121	812
978	36141	775
979	36166	738
980	36211	701
981	36273	664
982	36355	628
983	36431	592
984	36456	555
985	36630	520
986	36760	484
987	36850	447
988	36905	410
989	36934	373
990	36962	335
991	36990	298
992	37024	261
993	37046	223
994	37064	186
995	37088	148
996	37105	111
997	37127	74
998	37141	37
999	37162	0
